
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
5211,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.43,0.00,10.04,1,
5400,0.0,1.2,0.0, ,0.01,0.00,0.00,-0.39,0.04,9.81,1,
5600,0.0,1.2,0.0, ,0.01,0.00,0.00,-0.43,0.00,10.00,1,
5800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,9.96,1,
6000,0.0,1.2,0.0,0,0.01,0.00,0.00,-0.27,0.04,10.00,1,
6200,0.0,1.2,0.0, ,0.01,0.00,0.00,-0.31,0.04,10.00,1,
6400,0.0,2.0,0.0, ,0.01,0.00,0.00,-0.31,0.04,10.04,1,
6600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.00,10.04,1,
6800,0.0,2.0,0.0, ,0.01,0.00,0.00,-0.31,0.00,10.00,1,
7000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.71,0.08,10.04,1,
7200,0.0,2.0,0.0, ,0.01,0.00,0.00,0.00,0.04,9.92,1,
7400,0.0,2.0,0.0, ,0.00,0.00,0.00,-1.14,0.27,10.20,1,
7600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.63,0.12,10.00,1,
7800,0.0,2.0,0.0, ,0.00,0.00,0.00,0.00,0.00,10.04,1,
8000,0.0,2.0,0.0,0,0.01,0.00,0.00,-0.43,0.04,10.00,1,
8200,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.51,0.08,9.85,1,
8400,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.08,0.08,10.16,1,
8600,0.0,1.2,0.0, ,0.04,0.00,0.00,-0.31,0.04,9.96,1,
8800,0.0,2.0,0.0, ,0.03,0.00,0.00,-0.51,0.04,10.00,1,
9000,0.0,1.2,0.0, ,0.01,0.00,0.00,-0.24,0.04,9.85,1,
9200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
9400,0.0,1.2,0.0, ,0.06,0.00,0.00,-0.39,0.04,10.00,1,
9600,0.0,2.0,0.0, ,0.00,0.00,0.00,0.24,0.31,9.92,1,
